DEPREG,MUPREG,MESREG,AÑOREG,DIAOCU,MESOCU,DEPOCU,MUPOCU,EDADHOM,EDADMUJ,PPERHOM,PPERMUJ,NACHOM,NACMUJ,ESCHOM,ESCMUJ,CIUOHOM,CIUOMUJ
Alta Verapaz,Cobán,Octubre,2019.0,5.0,Junio,Alta Verapaz,Cobán,50.0,Ignorado,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Ignorado,No especificado en otro grupo,Oficiales de las fuerzas armadas
Guatemala,Mixco,Junio,2019.0,28.0,Mayo,Guatemala,Guatemala,48.0,47.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Universitario,Directores administradores y comerciales,"Directores ejecutivos, personal directivo de la administración pública y miembros del poder ejecutivo y de los cuerpos l"
Guatemala,Guatemala,Noviembre,2019.0,24.0,Octubre,Guatemala,Villa Canales,57.0,55.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Universitario,Profesionales de las ciencias y de la ingeniería,"Directores ejecutivos, personal directivo de la administración pública y miembros del poder ejecutivo y de los cuerpos l"
Guatemala,Guatemala,Noviembre,2019.0,14.0,Octubre,Guatemala,Guatemala,42.0,39.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Universitario,Profesionales de las ciencias y de la ingeniería,"Directores ejecutivos, personal directivo de la administración pública y miembros del poder ejecutivo y de los cuerpos l"
Guatemala,Guatemala,Noviembre,2019.0,26.0,Julio,Guatemala,Mixco,54.0,31.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Universitario,Especialistas en organización de la administración publica y de empresas,"Directores ejecutivos, personal directivo de la administración pública y miembros del poder ejecutivo y de los cuerpos l"
Guatemala,Chinautla,Agosto,2019.0,11.0,Junio,Guatemala,Guatemala,36.0,36.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Universitario,Especialistas en organización de la administración publica y de empresas,"Directores ejecutivos, personal directivo de la administración pública y miembros del poder ejecutivo y de los cuerpos l"
Guatemala,Guatemala,Marzo,2019.0,20.0,Febrero,Guatemala,Mixco,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,"Operarios y oficiales de procesamiento de alimentos, de la confección, ebanistas, otros artesanos y afines","Directores ejecutivos, personal directivo de la administración pública y miembros del poder ejecutivo y de los cuerpos l"
Guatemala,Guatemala,Marzo,2019.0,14.0,Enero,Guatemala,Guatemala,27.0,27.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Ignorado,Directores administradores y comerciales,Directores administradores y comerciales
Guatemala,Guatemala,Mayo,2019.0,22.0,Marzo,Guatemala,Guatemala,36.0,27.0,Ladino / Mestizo,Ignorado,Guatemala,Guatemala,Universitario,Ignorado,Directores administradores y comerciales,Directores administradores y comerciales
Guatemala,Guatemala,Marzo,2019.0,13.0,Marzo,Guatemala,Mixco,48.0,41.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Universitario,Profesionales de las ciencias y de la ingeniería,Directores administradores y comerciales
