DEPREG,MUPREG,MESREG,AÑOREG,DIAOCU,MESOCU,DEPOCU,MUPOCU,EDADHOM,EDADMUJ,PPERHOM,PPERMUJ,NACHOM,NACMUJ,ESCHOM,ESCMUJ,CIUOHOM,CIUOMUJ
Santa Rosa,Oratorio,Diciembre,2020.0,19.0,Noviembre,Santa Rosa,Nueva Santa Rosa,19.0,23.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Primaria,Primaria,"Peones agropecuarios, pesqueros y forestales",No especificado en otro grupo
Sololá,Santa Lucía Utatlán,Febrero,2020.0,3.0,Febrero,Sololá,Santa Lucía Utatlán,20.0,20.0,Maya,Ignorado,Guatemala,Guatemala,Diversificado,Diversificado,"Oficiales y operarios de la metalurgia, la construcción mecánica y afines","Profesionales de nivel medio de servicios jurídicos, sociales, culturales y afines"
Quetzaltenango,Zunil,Septiembre,2020.0,21.0,Septiembre,Quetzaltenango,Zunil,20.0,20.0,Maya,Maya,Guatemala,Guatemala,Diversificado,Básico,Trabajadores especializados en electricidad y la elecrotecnología,No especificado en otro grupo
Totonicapán,Totonicapán,Marzo,2021.0,18.0,Noviembre,Totonicapán,Totonicapán,20.0,21.0,Maya,Maya,Guatemala,Guatemala,Básico,Básico,"Operarios y oficiales de procesamiento de alimentos, de la confección, ebanistas, otros artesanos y afines",Vendedores
Zacapa,La Unión,Noviembre,2020.0,9.0,Noviembre,Zacapa,La Unión,20.0,22.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Primaria,Primaria,"Peones agropecuarios, pesqueros y forestales",No especificado en otro grupo
Quetzaltenango,Coatepeque,Junio,2021.0,12.0,Octubre,Quetzaltenango,Flores Costa Cuca,20.0,23.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Ignorado,Diversificado,Empleados en trato directo con el público,No especificado en otro grupo
Chiquimula,Ipala,Octubre,2020.0,6.0,Marzo,Chiquimula,Olopa,21.0,20.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Primaria,Primaria,"Peones agropecuarios, pesqueros y forestales",Vendedores
Quiché,Nebaj,Febrero,2020.0,27.0,Enero,Quiché,Chajul,21.0,21.0,Maya,Maya,Guatemala,Guatemala,Básico,Básico,Artesanos y operarios de las artes gráficas,No especificado en otro grupo
Totonicapán,Totonicapán,Noviembre,2020.0,21.0,Octubre,Totonicapán,Totonicapán,21.0,21.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Diversificado,Diversificado,No especificado en otro grupo,No especificado en otro grupo
Quetzaltenango,Quetzaltenango,Febrero,2020.0,4.0,Febrero,Quetzaltenango,Olintepeque,21.0,22.0,Ignorado,Ignorado,Guatemala,Guatemala,Básico,Básico,Vendedores,No especificado en otro grupo
