DEPREG,MUPREG,MESREG,AÑOREG,DIAOCU,MESOCU,DEPOCU,MUPOCU,EDADHOM,EDADMUJ,PUEHOM,PUEMUJ,NACHOM,NACMUJ,ESCHOM,ESCMUJ,CIUOHOM,CIUOMUJ
Zacapa,Zacapa,Julio,2014.0,6.0,Junio,Zacapa,Zacapa,Ignorado,Ignorado,Ignorado,Ignorado,Brasil,Guatemala,Ignorado,Ignorado,"Profesionales de nivel medio de servicios jurídicos, sociales, culturales y afines",No especificado en otro grupo
Suchitepequez,Mazatenango,Abril,2014.0,10.0,Marzo,Suchitepequez,Mazatenango,Ignorado,Ignorado,Ignorado,Ignorado,Brasil,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Guatemala,Guatemala,Septiembre,2014.0,4.0,Agosto,Sacatepequez,Antigua Guatemala,Ignorado,Ignorado,Mestizo / ladino,Mestizo / ladino,Brasil,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Sacatepequez,Santa Lucía Milpas Altas,Enero,2015.0,7.0,Agosto,Sacatepequez,Santa Lucía Milpas Altas,30.0,27.0,Ignorado,Ignorado,Canadá,Guatemala,Ninguno,Ninguno,Vendedores,No especificado en otro grupo
Suchitepequez,Mazatenango,Mayo,2014.0,4.0,Abril,Suchitepequez,Mazatenango,Ignorado,Ignorado,Ignorado,Ignorado,China,Guatemala,Ignorado,Ignorado,Vendedores,No especificado en otro grupo
Guatemala,Guatemala,Mayo,2015.0,5.0,Diciembre,Guatemala,Guatemala,48.0,Ignorado,Mestizo / ladino,Ignorado,China,Guatemala,Diversificado,Ninguno,Vendedores,Trabajadores de los servicios personales
Izabal,Puerto Barrios,Octubre,2014.0,11.0,Septiembre,Izabal,Puerto Barrios,Ignorado,Ignorado,Ignorado,Ignorado,Costa Rica,Guatemala,Ignorado,Ignorado,Ignorado,No especificado en otro grupo
Guatemala,Guatemala,Octubre,2014.0,17.0,Junio,Guatemala,Guatemala,36.0,37.0,Mestizo / ladino,Mestizo / ladino,Costa Rica,Guatemala,Universitario,Universitario,Profesionales de las ciencias y de la ingeniería,Profesionales de las ciencias y de la ingeniería
Izabal,Puerto Barrios,Diciembre,2014.0,17.0,Octubre,Izabal,Puerto Barrios,Ignorado,Ignorado,Ignorado,Ignorado,Cuba,Guatemala,Ignorado,Ignorado,"Profesionales de nivel medio de servicios jurídicos, sociales, culturales y afines",Ignorado
Totonicapan,Totonicapán,Septiembre,2014.0,21.0,Julio,Guatemala,Guatemala,29.0,36.0,Ignorado,Mestizo / ladino,Cuba,Guatemala,Ninguno,Universitario,No especificado en otro grupo,Profesionales de la salud
Guatemala,Guatemala,Junio,2014.0,13.0,Febrero,Guatemala,Guatemala,48.0,38.0,Ignorado,Ignorado,Cuba,Guatemala,Ninguno,Ninguno,Ignorado,Ignorado
Suchitepequez,Mazatenango,Agosto,2014.0,26.0,Mayo,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Cuba,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Guatemala,Guatemala,Mayo,2015.0,17.0,Septiembre,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Cuba,Guatemala,Ignorado,Ignorado,"Profesionales en derecho, en ciencias sociales y culturales",Vendedores
Guatemala,Guatemala,Enero,2015.0,4.0,Septiembre,Guatemala,Guatemala,42.0,34.0,Ignorado,Mestizo / ladino,Dinamarca,Guatemala,Ninguno,Universitario,Vendedores,Vendedores
Guatemala,Guatemala,Septiembre,2014.0,14.0,Agosto,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Dominica,Guatemala,Ignorado,Ignorado,Profesionales de las ciencias y de la ingeniería,"Profesionales de nivel medio de servicios jurídicos, sociales, culturales y afines"
Guatemala,Guatemala,Marzo,2014.0,7.0,Febrero,Guatemala,Guatemala,45.0,39.0,Ignorado,Mestizo / ladino,República Dominicana,Guatemala,Ninguno,Universitario,Vendedores,Directores administradores y comerciales
Guatemala,Guatemala,Agosto,2014.0,24.0,Abril,Guatemala,Guatemala,44.0,Ignorado,Ignorado,Ignorado,Ecuador,Guatemala,Ninguno,Ignorado,Ignorado,Ignorado
Guatemala,Guatemala,Mayo,2015.0,6.0,Noviembre,Guatemala,Guatemala,30.0,30.0,Ignorado,Mestizo / ladino,Ecuador,Guatemala,Ninguno,Diversificado,Ignorado,No especificado en otro grupo
Guatemala,Guatemala,Diciembre,2014.0,6.0,Octubre,Sacatepequez,Antigua Guatemala,37.0,27.0,Ignorado,Mestizo / ladino,El Salvador,Guatemala,Ninguno,Universitario,Profesionales de las ciencias y de la ingeniería,No especificado en otro grupo
Guatemala,Guatemala,Julio,2014.0,6.0,Junio,Guatemala,Guatemala,34.0,33.0,Ignorado,Mestizo / ladino,El Salvador,Guatemala,Ninguno,Universitario,Profesionales de la salud,Profesionales de las ciencias y de la ingeniería
Guatemala,Guatemala,Mayo,2014.0,5.0,Marzo,Guatemala,Guatemala,42.0,Ignorado,Ignorado,Ignorado,El Salvador,Guatemala,Ninguno,Ignorado,No especificado en otro grupo,No especificado en otro grupo
Guatemala,Guatemala,Septiembre,2014.0,7.0,Julio,Guatemala,Fraijanes,Ignorado,Ignorado,Ignorado,Ignorado,El Salvador,Guatemala,Ignorado,Ignorado,No especificado en otro grupo,No especificado en otro grupo
Guatemala,Guatemala,Junio,2014.0,24.0,Marzo,Guatemala,Guatemala,61.0,48.0,Ignorado,Ignorado,El Salvador,Guatemala,Ignorado,Universitario,No especificado en otro grupo,No especificado en otro grupo
Guatemala,Guatemala,Mayo,2014.0,9.0,Abril,Sacatepequez,Pastores,Ignorado,Ignorado,Ignorado,Ignorado,El Salvador,Guatemala,Ignorado,Ninguno,Ignorado,Ignorado
Jutiapa,Jutiapa,Septiembre,2014.0,28.0,Julio,Jutiapa,Jutiapa,Ignorado,Ignorado,Ignorado,Ignorado,El Salvador,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Guatemala,Guatemala,Diciembre,2014.0,1.0,Octubre,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Alemania,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Guatemala,Guatemala,Febrero,2014.0,20.0,Enero,Guatemala,Guatemala,80.0,Ignorado,Ignorado,Ignorado,Alemania,Guatemala,Ignorado,Ignorado,No especificado en otro grupo,Oficinistas
Guatemala,Guatemala,Enero,2015.0,14.0,Octubre,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Alemania,Guatemala,Ignorado,Ignorado,No especificado en otro grupo,No especificado en otro grupo
Guatemala,Guatemala,Enero,2015.0,10.0,Diciembre,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Alemania,Guatemala,Ignorado,Ignorado,No especificado en otro grupo,No especificado en otro grupo
Guatemala,Villa Nueva,Noviembre,2014.0,23.0,Julio,Guatemala,Villa Nueva,34.0,Ignorado,Maya,Ignorado,Guatemala,Guatemala,Básico,Ignorado,Directores administradores y comerciales,No especificado en otro grupo
Quetzaltenango,Coatepeque,Octubre,2014.0,1.0,Agosto,Quetzaltenango,Coatepeque,23.0,26.0,Mestizo / ladino,Mestizo / ladino,Guatemala,Guatemala,Básico,Básico,Directores administradores y comerciales,No especificado en otro grupo
Jutiapa,Jutiapa,Septiembre,2014.0,12.0,Agosto,Jutiapa,Jutiapa,27.0,23.0,Mestizo / ladino,Mestizo / ladino,Guatemala,Guatemala,Primaria,Diversificado,Directores y gerentes de producción y operaciones,Empleados contables y encargados del registro de materiales
Huehuetenango,Huehuetenango,Julio,2014.0,21.0,Mayo,Huehuetenango,Malacatancito,Ignorado,45.0,Ignorado,Mestizo / ladino,Guatemala,Guatemala,Ninguno,Ignorado,Directores y gerentes de producción y operaciones,No especificado en otro grupo
Guatemala,Guatemala,Febrero,2015.0,17.0,Noviembre,Guatemala,Amatitlán,28.0,27.0,Ignorado,Mestizo / ladino,Guatemala,Guatemala,Ninguno,Diversificado,Directores administradores y comerciales,Profesionales de las ciencias y de la ingeniería
Quetzaltenango,Coatepeque,Octubre,2014.0,22.0,Febrero,Quetzaltenango,Coatepeque,30.0,23.0,Mestizo / ladino,Mestizo / ladino,Guatemala,Colombia,Universitario,Diversificado,"Profesionales en derecho, en ciencias sociales y culturales",Otro personal de apoyo administrativo
Zacapa,Teculután,Diciembre,2014.0,28.0,Octubre,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Cuba,Ignorado,Ignorado,No especificado en otro grupo,Ignorado
Santa Rosa,Chiquimulilla,Octubre,2014.0,3.0,Septiembre,Guatemala,Guatemala,27.0,34.0,Mestizo / ladino,Ignorado,Guatemala,Cuba,Universitario,Ninguno,Ignorado,Ignorado
Guatemala,Guatemala,Octubre,2014.0,26.0,Agosto,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,El Salvador,Ignorado,Ignorado,Ignorado,Ignorado
Guatemala,Guatemala,Noviembre,2014.0,14.0,Octubre,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,El Salvador,Ignorado,Ignorado,Ignorado,Ignorado
Guatemala,Guatemala,Diciembre,2014.0,9.0,Octubre,Jutiapa,Asunción Mita,54.0,Ignorado,Mestizo / ladino,Ignorado,Guatemala,El Salvador,Diversificado,Ninguno,"Operarios y oficiales de procesamiento de alimentos, de la confección, ebanistas, otros artesanos y afines",Ignorado
Zacapa,Teculután,Octubre,2014.0,25.0,Agosto,Zacapa,Teculután,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,"Peones agropecuarios, pesqueros y forestales",No especificado en otro grupo
Escuintla,Nueva Concepción,Octubre,2014.0,7.0,Julio,Escuintla,Nueva Concepción,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
