DEPREG,MUPREG,MESREG,AÑOREG,DIAOCU,MESOCU,DEPOCU,MUPOCU,EDADHOM,EDADMUJ,PUEHOM,PUEMUJ,NACHOM,NACMUJ,ESCHOM,ESCMUJ,CIUOHOM,CIUOMUJ
Guatemala,Mixco,Julio,2013.0,25.0,Marzo,Guatemala,Guatemala,55.0,35.0,Mestizo / ladino,Ignorado,Guatemala,Guatemala,Postgrado,Ignorado,Profesionales de la salud,Profesionales de nivel medio de la salud
Jutiapa,Moyuta,Septiembre,2013.0,27.0,Agosto,Jutiapa,Jutiapa,46.0,36.0,Mestizo / ladino,Mestizo / ladino,Guatemala,Guatemala,Diversificado,Ignorado,Profesionales de la enseñanza,Profesionales de nivel medio de la salud
Quetzaltenango,Colomba,Octubre,2013.0,26.0,Julio,Quetzaltenango,Coatepeque,27.0,28.0,Mestizo / ladino,Ignorado,Guatemala,Guatemala,Diversificado,Ignorado,Profesionales de nivel medio en operaciones financieras y administrativas,Profesionales de nivel medio de la salud
Guatemala,Guatemala,Julio,2013.0,29.0,Abril,Guatemala,Amatitlán,42.0,35.0,Mestizo / ladino,Mestizo / ladino,Guatemala,Guatemala,Diversificado,Ignorado,Empleados contables y encargados del registro de materiales,Profesionales de nivel medio de la salud
Guatemala,Guatemala,Enero,2013.0,4.0,Enero,Guatemala,Guatemala,43.0,34.0,Mestizo / ladino,Mestizo / ladino,Guatemala,Guatemala,Diversificado,Ignorado,"Oficiales y operarios de la metalurgia, la construcción mecánica y afines",Profesionales de nivel medio de la salud
Santa Rosa,Casillas,Agosto,2013.0,4.0,Julio,Jutiapa,Jutiapa,29.0,23.0,Ignorado,Mestizo / ladino,Guatemala,Guatemala,Ninguno,Ignorado,Conductores de vehículos y operadores de equipos pesados móviles,Profesionales de nivel medio de la salud
El Progreso,Guastatoya,Agosto,2013.0,16.0,Julio,El Progreso,Guastatoya,59.0,33.0,Ignorado,Mestizo / ladino,Guatemala,Guatemala,Ninguno,Ignorado,"Peones agropecuarios, pesqueros y forestales",Profesionales de nivel medio de la salud
Guatemala,Guatemala,Noviembre,2013.0,1.0,Octubre,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Ignorado,Ignorado,Ignorado,No especificado en otro grupo,Profesionales de nivel medio de la salud
Santa Rosa,Cuilapa,Septiembre,2013.0,21.0,Agosto,Santa Rosa,Cuilapa,Ignorado,27.0,Ignorado,Mestizo / ladino,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Profesionales de nivel medio de la salud
Guatemala,Guatemala,Enero,2014.0,9.0,Mayo,Chimaltenango,Chimaltenango,34.0,32.0,Mestizo / ladino,Ignorado,Guatemala,Guatemala,Universitario,Ignorado,Directores administradores y comerciales,No especificado en otro grupo
Guatemala,Guatemala,Febrero,2013.0,22.0,Enero,Guatemala,Guatemala,41.0,41.0,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Profesionales de las ciencias y de la ingeniería,No especificado en otro grupo
Guatemala,Guatemala,Agosto,2013.0,17.0,Julio,Guatemala,Guatemala,52.0,46.0,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Profesionales de las ciencias y de la ingeniería,No especificado en otro grupo
Guatemala,Guatemala,Octubre,2013.0,14.0,Agosto,Guatemala,Guatemala,47.0,40.0,Ignorado,Ignorado,Estados Unidos de América,Guatemala,Ignorado,Ignorado,Profesionales de las ciencias y de la ingeniería,No especificado en otro grupo
Guatemala,Guatemala,Agosto,2013.0,14.0,Marzo,Guatemala,Guatemala,31.0,33.0,Mestizo / ladino,Ignorado,Guatemala,Guatemala,Universitario,Ignorado,Profesionales de las ciencias y de la ingeniería,No especificado en otro grupo
Quetzaltenango,Quetzaltenango,Noviembre,2013.0,15.0,Febrero,Quetzaltenango,Quetzaltenango,37.0,25.0,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Profesionales de la salud,No especificado en otro grupo
Retalhuleu,San Martín Zapotitlán,Noviembre,2013.0,11.0,Julio,Alta Verapaz,Cobán,38.0,34.0,Mestizo / ladino,Ignorado,Guatemala,Guatemala,Universitario,Ignorado,Profesionales de la salud,No especificado en otro grupo
Suchitepequez,Santa Bárbara,Julio,2013.0,8.0,Mayo,Retalhuleu,Retalhuleu,54.0,50.0,Mestizo / ladino,Ignorado,Guatemala,Guatemala,Diversificado,Ignorado,Profesionales de la enseñanza,No especificado en otro grupo
Guatemala,Guatemala,Julio,2013.0,16.0,Mayo,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Profesionales de la enseñanza,No especificado en otro grupo
Totonicapan,Totonicapán,Octubre,2013.0,1.0,Agosto,Totonicapan,Totonicapán,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Profesionales de la enseñanza,No especificado en otro grupo
Quetzaltenango,Cabricán,Octubre,2013.0,12.0,Septiembre,Quetzaltenango,Quetzaltenango,59.0,54.0,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Profesionales de la enseñanza,No especificado en otro grupo
Guatemala,Guatemala,Octubre,2013.0,18.0,Septiembre,Guatemala,Guatemala,23.0,24.0,Mestizo / ladino,Ignorado,Guatemala,Estados Unidos de América,Diversificado,Ignorado,Especialistas en organización de la administración publica y de empresas,No especificado en otro grupo
