DEPREG,MUPREG,MESREG,AÑOREG,DIAOCU,MESOCU,DEPOCU,MUPOCU,EDADHOM,EDADMUJ,PUEHOM,PUEMUJ,NACHOM,NACMUJ,ESCHOM,ESCMUJ,CIUOHOM,CIUOMUJ
Guatemala,Guatemala,Agosto,2015.0,17.0,Julio,Huehuetenango,Huehuetenango,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ninguno,Ignorado,Ignorado,Profesionales de la enseñanza
Guatemala,Guatemala,Junio,2016.0,29.0,Julio,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Estados Unidos de América,Guatemala,Ninguno,Ignorado,Ignorado,Oficinistas
Zacapa,Zacapa,Febrero,2016.0,8.0,Julio,Zacapa,Zacapa,46.0,40.0,Mestizo / ladino,Mestizo / ladino,Guatemala,Guatemala,Ninguno,Ignorado,Ignorado,No especificado en otro grupo
Guatemala,Guatemala,Febrero,2016.0,22.0,Diciembre,Guatemala,Villa Nueva,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ninguno,Ignorado,Ignorado,No especificado en otro grupo
Jutiapa,Agua Blanca,Febrero,2015.0,3.0,Febrero,Jutiapa,Yupiltepeque,Ignorado,Ignorado,Mestizo / ladino,Mestizo / ladino,Guatemala,Guatemala,Ninguno,Ignorado,Ignorado,Ignorado
Guatemala,Guatemala,Junio,2016.0,14.0,Octubre,Jutiapa,Jutiapa,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ninguno,Ignorado,Ignorado,Ignorado
Jutiapa,Jutiapa,Febrero,2015.0,7.0,Enero,Jutiapa,Jutiapa,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ninguno,Ignorado,Ignorado,Ignorado
Jalapa,Jalapa,Septiembre,2015.0,17.0,Julio,Jalapa,San Manuel Chaparrón,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ninguno,Ignorado,Ignorado,Ignorado
Guatemala,Guatemala,Noviembre,2015.0,13.0,Julio,Jalapa,San Pedro Pinula,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ninguno,Ignorado,Ignorado,Ignorado
Jalapa,Jalapa,Diciembre,2015.0,28.0,Octubre,Jalapa,San Pedro Pinula,33.0,Ignorado,Mestizo / ladino,Ignorado,Guatemala,Guatemala,Ninguno,Ignorado,Ignorado,Ignorado
Chiquimula,Esquipulas,Enero,2016.0,11.0,Noviembre,Chiquimula,Esquipulas,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ninguno,Ignorado,Ignorado,Ignorado
Chiquimula,Esquipulas,Noviembre,2015.0,14.0,Septiembre,Chiquimula,Esquipulas,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ninguno,Ignorado,Ignorado,Ignorado
