DEPREG,MUPREG,MESREG,AÑOREG,DIAOCU,MESOCU,DEPOCU,MUPOCU,EDADHOM,EDADMUJ,PPERHOM,PPERMUJ,NACHOM,NACMUJ,ESCHOM,ESCMUJ,CIUOHOM,CIUOMUJ
Guatemala,Fraijanes,Junio,2019.0,5.0,Diciembre,Izabal,Morales,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ninguno,Ignorado,Ignorado,Ignorado
Escuintla,La Gomera,Noviembre,2018.0,24.0,Julio,Escuintla,La Gomera,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ninguno,Ignorado,Ignorado,Ignorado
Guatemala,Guatemala,Abril,2018.0,2.0,Abril,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ninguno,Ignorado,Ignorado,Ignorado
Escuintla,Escuintla,Junio,2018.0,9.0,Marzo,Escuintla,Escuintla,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ninguno,Ignorado,Ignorado,Ignorado
Izabal,Puerto Barrios,Agosto,2018.0,3.0,Abril,Jutiapa,Asunción Mita,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ninguno,Ignorado,Ignorado,Ignorado
Guatemala,Guatemala,Octubre,2018.0,27.0,Marzo,Guatemala,Chinautla,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ninguno,Ignorado,Ignorado,Ignorado
Escuintla,La Gomera,Marzo,2018.0,1.0,Marzo,Escuintla,La Gomera,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ninguno,Ignorado,Ignorado,Ignorado
Retalhuleu,Santa Cruz Muluá,Mayo,2018.0,19.0,Abril,Retalhuleu,Santa Cruz Muluá,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ninguno,Ignorado,Ignorado,Ignorado
Quetzaltenango,Colomba,Octubre,2018.0,13.0,Agosto,Quetzaltenango,Colomba,34.0,Ignorado,Ladino / Mestizo,Ignorado,Guatemala,Guatemala,Ninguno,Ignorado,Ignorado,Ignorado
Izabal,Livingston,Septiembre,2018.0,23.0,Abril,Izabal,Morales,36.0,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ninguno,Ignorado,Ignorado,Ignorado
Zacapa,Teculután,Julio,2018.0,4.0,Junio,Zacapa,Teculután,37.0,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ninguno,Ignorado,Ignorado,Ignorado
Retalhuleu,Retalhuleu,Octubre,2018.0,20.0,Julio,Quiche,Ixcán,42.0,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ninguno,Ignorado,Ignorado,Ignorado
Chiquimula,Esquipulas,Abril,2018.0,5.0,Enero,Chiquimula,Esquipulas,50.0,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ninguno,Ignorado,Ignorado,Ignorado
Guatemala,San José del Golfo,Junio,2019.0,21.0,Agosto,Guatemala,Chinautla,55.0,Ignorado,Ignorado,Ignorado,El Salvador,Guatemala,Ninguno,Ignorado,Ignorado,Ignorado
Guatemala,Villa Nueva,Enero,2019.0,26.0,Octubre,Sacatepequez,Antigua Guatemala,67.0,Ignorado,Ignorado,Ignorado,Colombia,Guatemala,Ninguno,Ignorado,Ignorado,Ignorado
Guatemala,Guatemala,Junio,2019.0,13.0,Marzo,Sacatepequez,Antigua Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Austria,Guatemala,Ninguno,Ignorado,Ignorado,Ignorado
Quiche,Nebaj,Julio,2018.0,15.0,Mayo,Huehuetenango,Huehuetenango,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ninguno,Ignorado,Ignorado,Ignorado
Suchitepequez,Mazatenango,Agosto,2018.0,11.0,Julio,Suchitepequez,Mazatenango,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ninguno,Ignorado,Ignorado,Ignorado
Guatemala,Guatemala,Agosto,2018.0,6.0,Junio,Quiche,Santa Cruz del Quiché,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ninguno,Ignorado,Ignorado,Ignorado
Guatemala,Guatemala,Agosto,2018.0,7.0,Mayo,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ninguno,Ignorado,Ignorado,Ignorado
Guatemala,Guatemala,Agosto,2018.0,18.0,Julio,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ninguno,Ignorado,Ignorado,Ignorado
Baja Verapaz,Salamá,Septiembre,2018.0,2.0,Julio,Baja Verapaz,Salamá,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ninguno,Ignorado,Ignorado,Ignorado
Quetzaltenango,Flores Costa Cuca,Octubre,2018.0,11.0,Septiembre,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ninguno,Ignorado,Ignorado,Ignorado
Retalhuleu,Retalhuleu,Noviembre,2018.0,3.0,Julio,Retalhuleu,Retalhuleu,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ninguno,Ignorado,Ignorado,Ignorado
Guatemala,Guatemala,Diciembre,2018.0,21.0,Septiembre,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ninguno,Ignorado,Ignorado,Ignorado
Quiche,Santa Cruz del Quiché,Enero,2019.0,26.0,Octubre,Quiche,Santa Cruz del Quiché,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ninguno,Ignorado,Ignorado,Ignorado
Quetzaltenango,Coatepeque,Febrero,2019.0,15.0,Octubre,Retalhuleu,Retalhuleu,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ninguno,Ignorado,Ignorado,Ignorado
Totonicapan,San Cristóbal Totonicapán,Abril,2018.0,23.0,Febrero,Totonicapan,San Cristóbal Totonicapán,Ignorado,Ignorado,Maya,Ignorado,Guatemala,Guatemala,Ninguno,Ignorado,Ignorado,Ignorado
Izabal,Livingston,Mayo,2018.0,30.0,Abril,Izabal,Livingston,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ninguno,Ignorado,Ignorado,Ignorado
Totonicapan,San Cristóbal Totonicapán,Noviembre,2018.0,3.0,Mayo,Totonicapan,San Cristóbal Totonicapán,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ninguno,Ignorado,Ignorado,Ignorado
Quiche,Chinique,Febrero,2018.0,15.0,Enero,Quiche,Chinique,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ninguno,Ignorado,Ignorado,Ignorado
Chimaltenango,Chimaltenango,Septiembre,2018.0,13.0,Marzo,Chimaltenango,San Martín Jilotepeque,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ninguno,Ignorado,Ignorado,Ignorado
Izabal,Morales,Septiembre,2018.0,21.0,Agosto,Chiquimula,San Juan Ermita,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ninguno,Ignorado,Ignorado,Ignorado
Guatemala,Guatemala,Noviembre,2018.0,28.0,Agosto,Guatemala,San José Pinula,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ninguno,Ignorado,Ignorado,Ignorado
San Marcos,Malacatán,Mayo,2019.0,26.0,Noviembre,Guatemala,San José Pinula,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ninguno,Ignorado,Ignorado,Ignorado
Izabal,Morales,Abril,2018.0,19.0,Febrero,Izabal,Morales,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ninguno,Ignorado,Ignorado,Ignorado
Izabal,Morales,Agosto,2018.0,9.0,Agosto,Izabal,Morales,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ninguno,Ignorado,Ignorado,Ignorado
Izabal,Morales,Agosto,2018.0,25.0,Julio,Izabal,Morales,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ninguno,Ignorado,Ignorado,Ignorado
Quiche,Zacualpa,Noviembre,2018.0,11.0,Julio,Quiche,Zacualpa,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ninguno,Ignorado,Ignorado,Ignorado
Izabal,Morales,Noviembre,2018.0,18.0,Octubre,Izabal,Morales,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ninguno,Ignorado,Ignorado,Ignorado
Baja Verapaz,Rabinal,Enero,2019.0,24.0,Octubre,Baja Verapaz,Cubulco,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ninguno,Ignorado,Ignorado,Ignorado
Huehuetenango,Cuilco,Marzo,2019.0,21.0,Diciembre,Huehuetenango,Cuilco,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ninguno,Ignorado,Ignorado,Ignorado
Jalapa,Jalapa,Agosto,2018.0,20.0,Julio,Jutiapa,Asunción Mita,Ignorado,Ignorado,Ladino / Mestizo,Ignorado,Guatemala,Guatemala,Ninguno,Ignorado,Ignorado,Ignorado
Quetzaltenango,Olintepeque,Febrero,2019.0,10.0,Octubre,Retalhuleu,San Felipe,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ninguno,Ignorado,Ignorado,Ignorado
Jutiapa,Asunción Mita,Abril,2019.0,19.0,Junio,Jutiapa,Asunción Mita,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ninguno,Ignorado,Ignorado,Ignorado
