DEPREG,MUPREG,MESREG,AÑOREG,DIAOCU,MESOCU,DEPOCU,MUPOCU,EDADHOM,EDADMUJ,PPERHOM,PPERMUJ,NACHOM,NACMUJ,ESCHOM,ESCMUJ,CIUOHOM,CIUOMUJ
Totonicapan,Totonicapán,Diciembre,2017.0,4.0,Diciembre,Totonicapan,Totonicapán,47.0,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ninguno,Ninguno,Ignorado,Ignorado
Guatemala,Guatemala,Septiembre,2017.0,5.0,Agosto,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Otros miembros de las fuerzas armadas
Guatemala,Guatemala,Julio,2017.0,23.0,Mayo,Guatemala,Guatemala,33.0,31.0,Ladino / Mestizo,Mestizo / Ladino,Costa Rica,Guatemala,Ignorado,Ignorado,Vendedores,"Directores ejecutivos, personal directivo de la administración pública y miembros del poder ejecutivo y de los cuerpos l"
Guatemala,Guatemala,Octubre,2017.0,7.0,Julio,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,"Profesionales en derecho, en ciencias sociales y culturales",Directores administradores y comerciales
Guatemala,Guatemala,Diciembre,2017.0,20.0,Julio,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Profesionales de las ciencias y de la ingeniería,Profesionales de las ciencias y de la ingeniería
Guatemala,Guatemala,Enero,2018.0,26.0,Octubre,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Directores administradores y comerciales,Profesionales de las ciencias y de la ingeniería
Guatemala,San José del Golfo,Octubre,2017.0,10.0,Agosto,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Profesionales de las ciencias y de la ingeniería,Profesionales de las ciencias y de la ingeniería
Guatemala,Guatemala,Octubre,2017.0,15.0,Junio,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Profesionales de la salud,Profesionales de la salud
Guatemala,Guatemala,Enero,2018.0,24.0,Agosto,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Profesionales de la salud,Profesionales de la salud
Guatemala,Guatemala,Agosto,2017.0,20.0,Marzo,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,No especificado en otro grupo,Profesionales de la salud
Guatemala,Guatemala,Junio,2017.0,20.0,Febrero,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,El Salvador,Ignorado,Ignorado,Profesionales de la salud,Profesionales de la salud
Guatemala,Guatemala,Enero,2018.0,16.0,Junio,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,No especificado en otro grupo,Profesionales de la enseñanza
Escuintla,Iztapa,Noviembre,2017.0,3.0,Noviembre,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Profesionales de la salud,Profesionales de la enseñanza
Alta Verapaz,Cobán,Abril,2018.0,21.0,Septiembre,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Empleados contables y encargados del registro de materiales,Profesionales de la enseñanza
Guatemala,Guatemala,Junio,2017.0,11.0,Abril,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Empleados contables y encargados del registro de materiales,Profesionales de la enseñanza
El Progreso,Guastatoya,Diciembre,2017.0,8.0,Noviembre,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Estados Unidos de América,Guatemala,Ignorado,Ignorado,Empleados contables y encargados del registro de materiales,Profesionales de la enseñanza
Guatemala,Guatemala,Abril,2017.0,26.0,Enero,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,No especificado en otro grupo,Profesionales de la enseñanza
Guatemala,Guatemala,Julio,2017.0,22.0,Mayo,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,No especificado en otro grupo,Profesionales de la enseñanza
Guatemala,Guatemala,Abril,2017.0,13.0,Marzo,Guatemala,Mixco,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,No especificado en otro grupo,Profesionales de la enseñanza
Guatemala,Guatemala,Enero,2018.0,4.0,Diciembre,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,No especificado en otro grupo,Profesionales de la enseñanza
Guatemala,Guatemala,Febrero,2018.0,20.0,Diciembre,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,No especificado en otro grupo,Profesionales de la enseñanza
Guatemala,Guatemala,Septiembre,2017.0,3.0,Agosto,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Oficiales de las fuerzas armadas,Profesionales de la enseñanza
Guatemala,Guatemala,Agosto,2017.0,13.0,Julio,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Profesionales de la salud,Profesionales de la enseñanza
Guatemala,Guatemala,Julio,2017.0,6.0,Abril,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Estados Unidos de América,Ignorado,Ignorado,"Profesionales en derecho, en ciencias sociales y culturales",Profesionales de la enseñanza
Guatemala,Guatemala,Septiembre,2017.0,15.0,Junio,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Profesionales de las ciencias y de la ingeniería,Profesionales de la enseñanza
Guatemala,Guatemala,Abril,2018.0,4.0,Agosto,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Estados Unidos de América,Ignorado,Ignorado,Especialistas en organización de la administración publica y de empresas,Profesionales de la enseñanza
Guatemala,Guatemala,Agosto,2017.0,29.0,Mayo,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Profesionales de las ciencias y la ingeniería de nivel medio,Profesionales de la enseñanza
Guatemala,Guatemala,Mayo,2017.0,20.0,Abril,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Profesionales de las ciencias y la ingeniería de nivel medio,Profesionales de la enseñanza
Guatemala,Guatemala,Marzo,2017.0,7.0,Febrero,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,No especificado en otro grupo,Profesionales de la enseñanza
Guatemala,Villa Nueva,Abril,2017.0,7.0,Marzo,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,No especificado en otro grupo,Profesionales de la enseñanza
Guatemala,Guatemala,Agosto,2017.0,12.0,Junio,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,No especificado en otro grupo,Profesionales de la enseñanza
Guatemala,Guatemala,Enero,2018.0,19.0,Diciembre,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,No especificado en otro grupo,Profesionales de la enseñanza
Guatemala,Guatemala,Mayo,2018.0,17.0,Agosto,Guatemala,Villa Nueva,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,No especificado en otro grupo,Profesionales de la enseñanza
Chimaltenango,Chimaltenango,Octubre,2017.0,28.0,Septiembre,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,"Oficiales y operarios de la metalurgia, la construcción mecánica y afines",Profesionales de la enseñanza
Guatemala,Guatemala,Octubre,2017.0,27.0,Abril,Guatemala,Fraijanes,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Directores administradores y comerciales,Especialistas en organización de la administración publica y de empresas
Guatemala,Guatemala,Marzo,2018.0,17.0,Noviembre,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,"Profesionales en derecho, en ciencias sociales y culturales",Especialistas en organización de la administración publica y de empresas
Guatemala,Guatemala,Junio,2018.0,30.0,Noviembre,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,"Profesionales en derecho, en ciencias sociales y culturales","Profesionales en derecho, en ciencias sociales y culturales"
Guatemala,Guatemala,Octubre,2017.0,7.0,Agosto,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,"Profesionales de nivel medio de servicios jurídicos, sociales, culturales y afines","Profesionales en derecho, en ciencias sociales y culturales"
Guatemala,Guatemala,Mayo,2017.0,21.0,Marzo,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,No especificado en otro grupo,"Profesionales en derecho, en ciencias sociales y culturales"
Guatemala,Guatemala,Abril,2018.0,10.0,Julio,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Uruguay,Guatemala,Ignorado,Ignorado,No especificado en otro grupo,"Profesionales en derecho, en ciencias sociales y culturales"
Guatemala,Guatemala,Marzo,2017.0,1.0,Febrero,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,"Profesionales en derecho, en ciencias sociales y culturales","Profesionales en derecho, en ciencias sociales y culturales"
Guatemala,Guatemala,Octubre,2017.0,21.0,Agosto,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Profesionales de tecnología de la información y las comunicaciones,"Profesionales en derecho, en ciencias sociales y culturales"
Guatemala,Guatemala,Mayo,2018.0,8.0,Agosto,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,No especificado en otro grupo,Profesionales de las ciencias y la ingeniería de nivel medio
Guatemala,Guatemala,Mayo,2017.0,21.0,Febrero,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Profesionales de las ciencias y de la ingeniería,Profesionales de las ciencias y la ingeniería de nivel medio
