DEPREG,MUPREG,MESREG,AÑOREG,DIAOCU,MESOCU,DEPOCU,MUPOCU,EDADHOM,EDADMUJ,PPERHOM,PPERMUJ,NACHOM,NACMUJ,ESCHOM,ESCMUJ,CIUOHOM,CIUOMUJ
Alta Verapaz,San Cristóbal Verapaz,Enero,2022.0,23.0,Agosto,Alta Verapaz,San Cristóbal Verapaz,27.0,27.0,Maya,Maya,Guatemala,Guatemala,Primaria,Primaria,Otros miembros de las fuerzas armadas,No especificado en otro grupo
Quetzaltenango,Coatepeque,Agosto,2021.0,12.0,Abril,Quetzaltenango,Coatepeque,31.0,32.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Básico,Diversificado,Otros miembros de las fuerzas armadas,No especificado en otro grupo
Jutiapa,Jutiapa,Julio,2021.0,24.0,Junio,Jutiapa,Jutiapa,32.0,29.0,Ladino / Mestizo,Ignorado,Guatemala,Guatemala,Básico,Básico,Otros miembros de las fuerzas armadas,Trabajadores de los servicios personales
Guatemala,Guatemala,Mayo,2021.0,26.0,Marzo,Guatemala,Guatemala,Ignorado,42.0,Ignorado,Ignorado,Guatemala,Nicaragua,Diversificado,Ignorado,Otros miembros de las fuerzas armadas,No especificado en otro grupo
Santa Rosa,Cuilapa,Noviembre,2021.0,29.0,Octubre,Santa Rosa,Guazacapán,38.0,30.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Diversificado,Diversificado,Otros miembros de las fuerzas armadas,Personal de los servicios de protección
Guatemala,Guatemala,Abril,2022.0,15.0,Noviembre,Guatemala,Chinautla,58.0,56.0,Ladino / Mestizo,Ignorado,Guatemala,Guatemala,Universitario,Ninguno,Otros miembros de las fuerzas armadas,Ignorado
Guatemala,Guatemala,Agosto,2021.0,16.0,Julio,Guatemala,Guatemala,41.0,34.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Diversificado,Otros miembros de las fuerzas armadas,No especificado en otro grupo
El Progreso,Guastatoya,Noviembre,2021.0,19.0,Octubre,El Progreso,San Agustín Acasaguastlán,32.0,35.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Universitario,Otros miembros de las fuerzas armadas,Otros miembros de las fuerzas armadas
Guatemala,Guatemala,Junio,2021.0,24.0,Mayo,Guatemala,Chinautla,59.0,50.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Ignorado,Diversificado,Otros miembros de las fuerzas armadas,Empleados en trato directo con el público
Guatemala,Guatemala,Septiembre,2021.0,14.0,Septiembre,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ninguno,Otros miembros de las fuerzas armadas,No especificado en otro grupo
Escuintla,Siquinalá,Diciembre,2021.0,23.0,Abril,Alta Verapaz,Cobán,Ignorado,50.0,Ignorado,Ladino / Mestizo,Guatemala,Guatemala,Ignorado,Diversificado,Otros miembros de las fuerzas armadas,Oficinistas
Izabal,Morales,Diciembre,2021.0,10.0,Agosto,Izabal,Puerto Barrios,26.0,22.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Ignorado,Diversificado,Otros miembros de las fuerzas armadas,No especificado en otro grupo
Guatemala,Guatemala,Febrero,2021.0,14.0,Enero,Guatemala,Guatemala,63.0,53.0,Ignorado,Ladino / Mestizo,Guatemala,Guatemala,Ignorado,Diversificado,"Directores ejecutivos, personal directivo de administración pública, miembros del poder ejecutivo y cuerpos legislativos",No especificado en otro grupo
Guatemala,Guatemala,Noviembre,2021.0,21.0,Junio,Sacatepéquez,Antigua Guatemala,63.0,48.0,Ignorado,Ladino / Mestizo,México,Guatemala,Ignorado,Universitario,"Directores ejecutivos, personal directivo de administración pública, miembros del poder ejecutivo y cuerpos legislativos",Especialistas en organización de la administración publica y de empresas
Guatemala,Chinautla,Noviembre,2021.0,19.0,Octubre,Guatemala,San Raymundo,42.0,28.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Básico,"Directores ejecutivos, personal directivo de administración pública, miembros del poder ejecutivo y cuerpos legislativos",No especificado en otro grupo
Guatemala,Guatemala,Julio,2021.0,31.0,Mayo,Santa Rosa,Chiquimulilla,37.0,37.0,Ladino / Mestizo,Ignorado,Guatemala,Guatemala,Universitario,Ignorado,"Directores ejecutivos, personal directivo de administración pública, miembros del poder ejecutivo y cuerpos legislativos",No especificado en otro grupo
Huehuetenango,San Antonio Huista,Octubre,2021.0,13.0,Agosto,Huehuetenango,Jacaltenango,36.0,37.0,Maya,Maya,Guatemala,Guatemala,Post Grado,Universitario,"Directores ejecutivos, personal directivo de administración pública, miembros del poder ejecutivo y cuerpos legislativos",Especialistas en organización de la administración publica y de empresas
Guatemala,Guatemala,Noviembre,2021.0,31.0,Mayo,Guatemala,Guatemala,61.0,64.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Diversificado,Directores administradores y comerciales,Ignorado
Quetzaltenango,Quetzaltenango,Julio,2021.0,9.0,Julio,Quetzaltenango,Quetzaltenango,41.0,40.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Universitario,Directores administradores y comerciales,Vendedores
Escuintla,San Vicente Pacaya,Octubre,2021.0,18.0,Agosto,Escuintla,San Vicente Pacaya,47.0,33.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Diversificado,Directores administradores y comerciales,Oficinistas
Guatemala,Guatemala,Noviembre,2021.0,13.0,Julio,Guatemala,Guatemala,33.0,36.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Diversificado,Directores administradores y comerciales,Trabajadores de los servicios personales
Guatemala,Guatemala,Enero,2022.0,19.0,Noviembre,Guatemala,Guatemala,51.0,49.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Diversificado,Directores administradores y comerciales,No especificado en otro grupo
Guatemala,Guatemala,Octubre,2021.0,23.0,Agosto,Guatemala,Guatemala,46.0,46.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Diversificado,Directores administradores y comerciales,Oficinistas
Chiquimula,Esquipulas,Septiembre,2021.0,28.0,Enero,Chiquimula,Esquipulas,32.0,32.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Diversificado,Directores administradores y comerciales,Empleados contables y encargados del registro de materiales
Guatemala,Guatemala,Enero,2022.0,26.0,Noviembre,Guatemala,Guatemala,43.0,37.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Universitario,Directores administradores y comerciales,"Gerentes de hoteles, restaurantes, comercios y otros servicios"
Quetzaltenango,Quetzaltenango,Marzo,2022.0,3.0,Diciembre,Quetzaltenango,Olintepeque,50.0,31.0,Maya,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Primaria,Directores administradores y comerciales,No especificado en otro grupo
Guatemala,Guatemala,Marzo,2021.0,22.0,Febrero,Quiché,Pachalum,44.0,26.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Diversificado,Directores administradores y comerciales,Empleados contables y encargados del registro de materiales
Quetzaltenango,Quetzaltenango,Septiembre,2021.0,31.0,Agosto,Guatemala,Guatemala,40.0,36.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Diversificado,Directores administradores y comerciales,No especificado en otro grupo
Guatemala,San Raymundo,Diciembre,2021.0,4.0,Octubre,Guatemala,San Juan Sacatepéquez,50.0,51.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Universitario,Directores administradores y comerciales,"Directores ejecutivos, personal directivo de administración pública, miembros del poder ejecutivo y cuerpos legislativos"
Guatemala,Guatemala,Mayo,2021.0,5.0,Abril,Guatemala,Mixco,49.0,43.0,Ignorado,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Universitario,Directores administradores y comerciales,Directores administradores y comerciales
Izabal,Puerto Barrios,Mayo,2021.0,1.0,Febrero,Izabal,Puerto Barrios,47.0,31.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Universitario,Directores administradores y comerciales,"Profesionales en derecho, en ciencias sociales y culturales"
Guatemala,Guatemala,Diciembre,2021.0,8.0,Noviembre,Guatemala,Guatemala,37.0,33.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Ignorado,Directores administradores y comerciales,Especialistas en organización de la administración publica y de empresas
Guatemala,Guatemala,Julio,2021.0,18.0,Marzo,Guatemala,Guatemala,31.0,28.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Diversificado,Directores administradores y comerciales,Profesionales de la enseñanza
Guatemala,Guatemala,Julio,2021.0,5.0,Abril,Guatemala,Santa Catarina Pinula,38.0,40.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Diversificado,Directores administradores y comerciales,Ignorado
Huehuetenango,La Democracia,Junio,2021.0,11.0,Febrero,Huehuetenango,La Democracia,32.0,28.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Diversificado,Directores administradores y comerciales,Profesionales de la enseñanza
Quetzaltenango,Quetzaltenango,Junio,2021.0,24.0,Mayo,Suchitepéquez,San Antonio Suchitepéquez,25.0,23.0,Ladino / Mestizo,Ignorado,Guatemala,Guatemala,Universitario,Diversificado,Directores administradores y comerciales,Empleados contables y encargados del registro de materiales
Guatemala,Guatemala,Abril,2021.0,12.0,Marzo,Guatemala,Guatemala,30.0,28.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Post Grado,Diversificado,Directores administradores y comerciales,Oficinistas
Guatemala,Guatemala,Abril,2021.0,16.0,Febrero,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Directores administradores y comerciales,Directores administradores y comerciales
Guatemala,Guatemala,Diciembre,2021.0,1.0,Diciembre,Sacatepéquez,Antigua Guatemala,43.0,42.0,Ladino / Mestizo,Otro,Guatemala,El Salvador,Ignorado,Ignorado,Directores administradores y comerciales,Directores administradores y comerciales
Guatemala,Guatemala,Abril,2021.0,12.0,Marzo,Guatemala,Guatemala,46.0,Ignorado,Ladino / Mestizo,Ignorado,Guatemala,Guatemala,Universitario,Ninguno,Directores administradores y comerciales,No especificado en otro grupo
Guatemala,Chinautla,Junio,2021.0,19.0,Abril,Guatemala,Guatemala,44.0,41.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Universitario,Directores administradores y comerciales,Profesionales de la salud
Quetzaltenango,Quetzaltenango,Mayo,2021.0,16.0,Abril,San Marcos,San Marcos,40.0,40.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Universitario,Directores y gerentes de producción y operaciones,Ignorado
Guatemala,Amatitlán,Marzo,2021.0,18.0,Febrero,Guatemala,Amatitlán,33.0,34.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Diversificado,Directores y gerentes de producción y operaciones,Ignorado
El Progreso,Guastatoya,Enero,2022.0,21.0,Diciembre,Alta Verapaz,Cobán,48.0,35.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Universitario,Directores y gerentes de producción y operaciones,"Profesionales en derecho, en ciencias sociales y culturales"
Guatemala,Guatemala,Mayo,2021.0,19.0,Marzo,Guatemala,Guatemala,47.0,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Universitario,Ignorado,Directores y gerentes de producción y operaciones,No especificado en otro grupo
Guatemala,Guatemala,Julio,2021.0,16.0,Junio,Guatemala,Guatemala,Ignorado,74.0,Ignorado,Ladino / Mestizo,Guatemala,Guatemala,Ignorado,Diversificado,"Gerentes de hoteles, restaurantes, comercios y otros servicios",No especificado en otro grupo
Guatemala,Guatemala,Mayo,2021.0,26.0,Febrero,Guatemala,Guatemala,67.0,65.0,Otro,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Universitario,Profesionales de las ciencias y de la ingeniería,Directores administradores y comerciales
Guatemala,Guatemala,Abril,2021.0,5.0,Abril,Guatemala,Guatemala,43.0,37.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Universitario,Profesionales de las ciencias y de la ingeniería,Profesionales de las ciencias y de la ingeniería
Guatemala,Guatemala,Marzo,2021.0,3.0,Marzo,Guatemala,Guatemala,29.0,29.0,Ladino / Mestizo,Ignorado,Guatemala,Guatemala,Universitario,Diversificado,Profesionales de las ciencias y de la ingeniería,No especificado en otro grupo
Guatemala,Guatemala,Octubre,2021.0,22.0,Septiembre,Guatemala,Guatemala,49.0,40.0,Otro,Ladino / Mestizo,Estados Unidos de América,Guatemala,Universitario,Diversificado,Profesionales de las ciencias y de la ingeniería,No especificado en otro grupo
El Progreso,Guastatoya,Julio,2021.0,21.0,Junio,Alta Verapaz,San Juan Chamelco,45.0,27.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Diversificado,Profesionales de las ciencias y de la ingeniería,No especificado en otro grupo
Jalapa,Jalapa,Junio,2021.0,9.0,Marzo,Jalapa,Jalapa,32.0,29.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Diversificado,Profesionales de las ciencias y de la ingeniería,No especificado en otro grupo
Guatemala,Guatemala,Noviembre,2021.0,14.0,Julio,Guatemala,Guatemala,Ignorado,53.0,Ignorado,Ladino / Mestizo,Colombia,Guatemala,Ignorado,Post Grado,Profesionales de las ciencias y de la ingeniería,Profesionales de las ciencias y de la ingeniería
Guatemala,Guatemala,Noviembre,2021.0,25.0,Agosto,Guatemala,San José Pinula,45.0,46.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Ignorado,Universitario,Profesionales de las ciencias y de la ingeniería,Profesionales de las ciencias y de la ingeniería
San Marcos,San Pedro Sacatepéquez,Octubre,2021.0,21.0,Abril,San Marcos,San Pedro Sacatepéquez,47.0,40.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Diversificado,Profesionales de las ciencias y de la ingeniería,No especificado en otro grupo
Sacatepéquez,Antigua Guatemala,Septiembre,2021.0,2.0,Septiembre,Sololá,Sololá,58.0,44.0,Maya,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Universitario,Profesionales de las ciencias y de la ingeniería,No especificado en otro grupo
Guatemala,Guatemala,Mayo,2021.0,6.0,Abril,Guatemala,Guatemala,Ignorado,56.0,Ignorado,Ignorado,Guatemala,Alemania,Universitario,Ninguno,Profesionales de las ciencias y de la ingeniería,No especificado en otro grupo
Guatemala,Guatemala,Abril,2021.0,5.0,Abril,Alta Verapaz,Cobán,45.0,40.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Diversificado,Profesionales de las ciencias y de la ingeniería,Técnicos de la tecnología de la información y las comunicaciones
Guatemala,Guatemala,Diciembre,2021.0,15.0,Noviembre,Petén,Poptún,63.0,55.0,Ignorado,Ladino / Mestizo,Holanda (Paises Bajos),Guatemala,Universitario,Diversificado,Profesionales de las ciencias y de la ingeniería,No especificado en otro grupo
Guatemala,Guatemala,Junio,2021.0,3.0,Mayo,Escuintla,Santa Lucía Cotzumalguapa,35.0,33.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Diversificado,Profesionales de las ciencias y de la ingeniería,No especificado en otro grupo
Chimaltenango,Chimaltenango,Enero,2022.0,13.0,Diciembre,Chimaltenango,Chimaltenango,39.0,31.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Diversificado,Profesionales de las ciencias y de la ingeniería,No especificado en otro grupo
Santa Rosa,Nueva Santa Rosa,Febrero,2021.0,19.0,Enero,Guatemala,Guatemala,48.0,42.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Diversificado,Profesionales de las ciencias y de la ingeniería,Ignorado
Quiché,Santa Cruz del Quiché,Enero,2022.0,28.0,Octubre,Quetzaltenango,Salcajá,56.0,52.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Diversificado,Profesionales de las ciencias y de la ingeniería,Ignorado
Guatemala,Guatemala,Marzo,2022.0,19.0,Noviembre,Guatemala,Villa Nueva,42.0,30.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Universitario,Profesionales de las ciencias y de la ingeniería,Profesionales de las ciencias y de la ingeniería
Quetzaltenango,Quetzaltenango,Noviembre,2021.0,20.0,Septiembre,Quetzaltenango,La Esperanza,28.0,41.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Universitario,Profesionales de las ciencias y de la ingeniería,Profesionales de las ciencias y de la ingeniería
Guatemala,Guatemala,Mayo,2021.0,9.0,Marzo,Guatemala,Guatemala,35.0,36.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Universitario,Profesionales de las ciencias y de la ingeniería,Profesionales de la salud
Guatemala,Guatemala,Septiembre,2021.0,21.0,Junio,Guatemala,Villa Nueva,45.0,44.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Universitario,Profesionales de las ciencias y de la ingeniería,Profesionales de la salud
Huehuetenango,Huehuetenango,Noviembre,2021.0,2.0,Julio,Huehuetenango,Huehuetenango,48.0,35.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Universitario,Profesionales de las ciencias y de la ingeniería,Profesionales de la enseñanza
Escuintla,Siquinalá,Julio,2021.0,18.0,Junio,Escuintla,Santa Lucía Cotzumalguapa,46.0,38.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Universitario,Profesionales de las ciencias y de la ingeniería,Especialistas en organización de la administración publica y de empresas
Jalapa,Jalapa,Abril,2021.0,24.0,Febrero,Jalapa,Jalapa,34.0,42.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Universitario,Profesionales de las ciencias y de la ingeniería,"Profesionales en derecho, en ciencias sociales y culturales"
Guatemala,Guatemala,Agosto,2021.0,27.0,Julio,Guatemala,Guatemala,31.0,30.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Universitario,Profesionales de las ciencias y de la ingeniería,"Profesionales en derecho, en ciencias sociales y culturales"
Guatemala,Guatemala,Julio,2021.0,7.0,Junio,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Universitario,Ignorado,Profesionales de las ciencias y de la ingeniería,Profesionales de la enseñanza
Guatemala,San Raymundo,Julio,2021.0,21.0,Junio,Izabal,Los Amates,40.0,38.0,Ignorado,Ignorado,Guatemala,El Salvador,Universitario,Ignorado,Profesionales de las ciencias y de la ingeniería,No especificado en otro grupo
Sololá,Sololá,Febrero,2022.0,27.0,Septiembre,Sololá,Sololá,30.0,30.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Diversificado,Profesionales de las ciencias y de la ingeniería,Profesionales de las ciencias y la ingeniería de nivel medio
Chimaltenango,Santa Cruz Balanyá,Junio,2021.0,13.0,Mayo,Guatemala,Guatemala,37.0,30.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Diversificado,Profesionales de las ciencias y de la ingeniería,Profesionales de nivel medio en operaciones financieras y administrativas
El Progreso,Guastatoya,Febrero,2021.0,27.0,Enero,Guatemala,Guatemala,38.0,30.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Diversificado,Profesionales de las ciencias y de la ingeniería,Oficinistas
Escuintla,Siquinalá,Septiembre,2021.0,21.0,Mayo,Escuintla,Siquinalá,37.0,27.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Diversificado,Profesionales de las ciencias y de la ingeniería,No especificado en otro grupo
Guatemala,Guatemala,Agosto,2021.0,1.0,Julio,Guatemala,Guatemala,31.0,30.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Universitario,Profesionales de las ciencias y de la ingeniería,"Profesionales en derecho, en ciencias sociales y culturales"
Guatemala,Guatemala,Junio,2021.0,15.0,Abril,Guatemala,Guatemala,38.0,Ignorado,Ignorado,Ignorado,Costa Rica,Guatemala,Universitario,Ignorado,Profesionales de las ciencias y de la ingeniería,Profesionales de las ciencias y de la ingeniería
Escuintla,Tiquisate,Octubre,2021.0,1.0,Septiembre,Escuintla,Tiquisate,30.0,28.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Ignorado,Diversificado,Profesionales de las ciencias y de la ingeniería,No especificado en otro grupo
Guatemala,Guatemala,Marzo,2021.0,26.0,Enero,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Profesionales de las ciencias y de la ingeniería,Profesionales de las ciencias y de la ingeniería
Guatemala,Guatemala,Junio,2021.0,23.0,Abril,Guatemala,Santa Catarina Pinula,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Profesionales de las ciencias y de la ingeniería,"Profesionales de nivel medio de servicios jurídicos, sociales, culturales y afines"
Guatemala,Guatemala,Abril,2021.0,19.0,Marzo,Izabal,Puerto Barrios,59.0,54.0,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Diversificado,Profesionales de las ciencias y de la ingeniería,Empleados contables y encargados del registro de materiales
Sacatepéquez,San Lucas Sacatepéquez,Mayo,2021.0,19.0,Abril,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Profesionales de las ciencias y de la ingeniería,"Profesionales en derecho, en ciencias sociales y culturales"
Retalhuleu,Retalhuleu,Noviembre,2021.0,28.0,Septiembre,Retalhuleu,Retalhuleu,30.0,24.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Ignorado,Diversificado,Profesionales de las ciencias y de la ingeniería,"Profesionales de nivel medio de servicios jurídicos, sociales, culturales y afines"
Guatemala,Guatemala,Junio,2021.0,18.0,Mayo,Guatemala,Guatemala,49.0,35.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Diversificado,Profesionales de las ciencias y de la ingeniería,Ignorado
Petén,Poptún,Enero,2022.0,19.0,Octubre,Petén,Poptún,60.0,41.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Universitario,Profesionales de las ciencias y de la ingeniería,"Profesionales en derecho, en ciencias sociales y culturales"
Guatemala,Guatemala,Junio,2021.0,3.0,Mayo,Guatemala,Guatemala,49.0,Ignorado,Ladino / Mestizo,Ignorado,Guatemala,Guatemala,Universitario,Ignorado,Profesionales de las ciencias y de la ingeniería,Oficinistas
Guatemala,Amatitlán,Enero,2022.0,30.0,Diciembre,Escuintla,Palín,31.0,23.0,Ladino / Mestizo,Ignorado,Guatemala,Guatemala,Universitario,Ninguno,Profesionales de las ciencias y de la ingeniería,No especificado en otro grupo
Guatemala,Guatemala,Enero,2022.0,24.0,Noviembre,Guatemala,Guatemala,43.0,39.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Universitario,Profesionales de las ciencias y de la ingeniería,"Profesionales en derecho, en ciencias sociales y culturales"
Guatemala,Guatemala,Septiembre,2021.0,10.0,Agosto,Guatemala,Mixco,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Universitario,Ninguno,Profesionales de las ciencias y de la ingeniería,No especificado en otro grupo
Guatemala,Guatemala,Septiembre,2021.0,18.0,Agosto,Guatemala,Guatemala,37.0,30.0,Ladino / Mestizo,Ignorado,Guatemala,México,Universitario,Ninguno,Profesionales de las ciencias y de la ingeniería,No especificado en otro grupo
Retalhuleu,Retalhuleu,Septiembre,2021.0,8.0,Abril,Retalhuleu,Retalhuleu,28.0,29.0,Ladino / Mestizo,Ignorado,Guatemala,Guatemala,Universitario,Diversificado,Profesionales de las ciencias y de la ingeniería,Profesionales de la enseñanza
Guatemala,Guatemala,Julio,2021.0,18.0,Marzo,Guatemala,Guatemala,31.0,31.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Diversificado,Profesionales de las ciencias y de la ingeniería,Profesionales de la enseñanza
Guatemala,Guatemala,Agosto,2021.0,27.0,Julio,Guatemala,Guatemala,35.0,29.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Diversificado,Profesionales de las ciencias y de la ingeniería,"Profesionales de nivel medio de servicios jurídicos, sociales, culturales y afines"
Chimaltenango,Chimaltenango,Junio,2021.0,8.0,Junio,Guatemala,Guatemala,26.0,22.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Diversificado,Profesionales de las ciencias y de la ingeniería,No especificado en otro grupo
