DEPREG,MUPREG,MESREG,AÑOREG,DIAOCU,MESOCU,DEPOCU,MUPOCU,EDADHOM,EDADMUJ,PPERHOM,PPERMUJ,NACHOM,NACMUJ,ESCHOM,ESCMUJ,CIUOHOM,CIUOMUJ
Escuintla,San José,Mayo,2021.0,1.0,Febrero,Escuintla,San José,29.0,25.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Diversificado,Diversificado,Oficiales de las fuerzas armadas,Profesionales de la enseñanza
Guatemala,Guatemala,Junio,2022.0,23.0,Agosto,Guatemala,Guatemala,36.0,37.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Universitario,Oficiales de las fuerzas armadas,Oficiales de las fuerzas armadas
Retalhuleu,Retalhuleu,Octubre,2021.0,11.0,Octubre,Retalhuleu,Retalhuleu,34.0,31.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Diversificado,Oficiales de las fuerzas armadas,Profesionales de la enseñanza
Guatemala,Guatemala,Enero,2022.0,29.0,Noviembre,Guatemala,Guatemala,48.0,33.0,Ladino / Mestizo,Ignorado,Guatemala,Guatemala,Universitario,Diversificado,Oficiales de las fuerzas armadas,Oficinistas
Baja Verapaz,Salamá,Marzo,2021.0,28.0,Enero,Baja Verapaz,Salamá,44.0,28.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Diversificado,Oficiales de las fuerzas armadas,No especificado en otro grupo
Petén,San Benito,Agosto,2021.0,13.0,Julio,Guatemala,Guatemala,39.0,27.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Universitario,Universitario,Oficiales de las fuerzas armadas,Profesionales de las ciencias y la ingeniería de nivel medio
San Marcos,San Pedro Sacatepéquez,Noviembre,2021.0,2.0,Agosto,San Marcos,San Pedro Sacatepéquez,45.0,40.0,Ladino / Mestizo,Ladino / Mestizo,Guatemala,Guatemala,Ignorado,Diversificado,Oficiales de las fuerzas armadas,No especificado en otro grupo
Guatemala,Guatemala,Agosto,2021.0,9.0,Julio,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Oficiales de las fuerzas armadas,No especificado en otro grupo
Quiché,Ixcán,Diciembre,2021.0,25.0,Octubre,Quiché,Ixcán,36.0,31.0,Ladino / Mestizo,Maya,Guatemala,Guatemala,Ninguno,Diversificado,Otros miembros de las fuerzas armadas,No especificado en otro grupo
Guatemala,Guatemala,Mayo,2021.0,15.0,Marzo,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ninguno,Ninguno,Otros miembros de las fuerzas armadas,No especificado en otro grupo
